model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,nodes
lgbm_quant,kin8nm,16,16,2,0.0,0.04568460197672396,0.047849189496343404,112
lgbm_base,mushroom,32,32,4,0.0,0.9992306508693645,0.9981538461538462,860
lgbm_quant,mushroom,32,32,4,0.0,0.9992306508693645,0.9981538461538462,860
lgbm_base,california_housing,64,64,8,0.0,0.18634395250490604,0.23788666494428182,3904
lgbm_base,california_housing,512,512,2,0.0,0.2319993900294643,0.26195848817770817,3584
lgbm_quant,california_housing,64,64,8,0.0,0.19408367748490704,0.2421430571547758,3904
lgbm_base,mushroom,1024,1024,4,0.0,1.0,1.0,7768
lgbm_quant,california_housing,512,512,2,0.0,25.532797087466633,25.35735054701132,3584
lgbm_quant,mushroom,1024,1024,4,0.0,1.0,1.0,7768
lgbm_base,breastcancer,128,128,1,0.0,0.9934065934065934,0.9385964912280702,384
lgbm_quant,breastcancer,128,128,1,0.0,0.9934065934065934,0.9385964912280702,384
lgbm_base,mushroom,8,8,1,0.0,0.9016771811047853,0.9083076923076923,24
lgbm_quant,mushroom,8,8,1,0.0,0.9016771811047853,0.9083076923076923,24
lgbm_base,mushroom,16,16,2,0.0,0.9718418218187413,0.976,112
lgbm_quant,mushroom,16,16,2,0.0,0.9718418218187413,0.976,112
lgbm_base,kin8nm,32,32,8,0.0,0.019044408174144035,0.02577311678190394,1952
lgbm_base,mushroom,256,256,1,0.0,0.9893829819972303,0.9883076923076923,768
lgbm_quant,kin8nm,32,32,8,0.0,0.019063425588142748,0.025777783948126205,1952
lgbm_quant,mushroom,256,256,1,0.0,0.9893829819972303,0.9883076923076923,768
lgbm_base,mushroom,1,1,4,0.0,0.9783043545160794,0.976,29
lgbm_base,mushroom,2,2,8,0.0,0.99523003539006,0.9969230769230769,114
lgbm_quant,mushroom,1,1,4,0.0,0.9783043545160794,0.976,29
lgbm_quant,mushroom,2,2,8,0.0,0.99523003539006,0.9969230769230769,114
lgbm_base,california_housing,32,32,4,0.0,0.3077972269675489,0.3391724437252385,978
lgbm_base,california_housing,1,1,4,0.0,1.180470490018006,1.200982212154914,31
lgbm_quant,california_housing,1,1,4,0.0,1.1806450288945243,1.2011563807276733,31
lgbm_quant,california_housing,32,32,4,0.0,0.34319368707968995,0.3741949424598907,978
lgbm_base,kin8nm,128,128,1,0.0,0.039586838958140795,0.041599102870764355,384
lgbm_base,mushroom,64,64,8,0.0,1.0,1.0,3854
lgbm_base,california_housing,8,8,1,0.0,0.9340069121202247,0.9573131347602386,24
lgbm_quant,kin8nm,128,128,1,0.0,0.039588525619795145,0.04159783390008928,384
lgbm_quant,california_housing,8,8,1,0.0,0.9344713843183121,0.9577487116846576,24
lgbm_quant,mushroom,64,64,8,0.0,1.0,1.0,3854
lgbm_base,california_housing,16,16,2,0.0,0.6292757670018729,0.6565179169449183,112
lgbm_quant,california_housing,16,16,2,0.0,0.629480857453781,0.6564745513241244,112
lgbm_base,mushroom,512,512,2,0.0,1.0,1.0,3572
