model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,nodes
cegb,covtype_multi,16,112,1,0.015625,0.6739693078232134,0.6736487009801813,250
cegb,breastcancer,1,1,8,0.0078125,0.6285714285714286,0.6228070175438597,9
cegb,covtype,64,52,1,0.0078125,0.7332882969133558,0.731297815030593,156
cegb,covtype_multi,16,7,8,0.5,0.48794451054088883,0.48621808387046805,7
cegb,covtype_multi,32,91,4,0.015625,0.7071635876241639,0.7061263478567679,639
cegb,breastcancer,512,35,4,0.0078125,0.9934065934065934,0.956140350877193,381
cegb,breastcancer,512,19,8,0.0625,0.9714285714285714,0.956140350877193,93
cegb,breastcancer,2,2,2,0.5,0.6285714285714286,0.6228070175438597,6
cegb,breastcancer,1024,1024,1,0.0,1.0,0.9385964912280702,3072
cegb,kr-vs-kp,1,1,1,0.0,0.5199530516431925,0.53125,3
cegb,breastcancer,1024,7,2,0.25,0.9340659340659341,0.9385964912280702,21
cegb,kr-vs-kp,1,1,4,0.0625,0.9432707355242567,0.93125,11
cegb,kr-vs-kp,1,1,8,0.015625,0.956964006259781,0.9546875,47
cegb,kr-vs-kp,2,1,4,0.25,0.5199530516431925,0.53125,1
cegb,kr-vs-kp,2,2,8,0.0625,0.9432707355242567,0.93125,42
cegb,breastcancer,1024,29,8,0.015625,0.9868131868131869,0.9649122807017544,285
cegb,breastcancer,1024,19,8,0.0625,0.9714285714285714,0.956140350877193,93
cegb,breastcancer,1024,7,8,0.25,0.9340659340659341,0.9385964912280702,21
cegb,breastcancer,1024,19,4,0.0625,0.9714285714285714,0.956140350877193,93
cegb,kr-vs-kp,2,2,2,0.0,0.9025821596244131,0.9109375,10
cegb,kr-vs-kp,1,1,2,0.25,0.5199530516431925,0.53125,1
cegb,kr-vs-kp,4,4,1,0.015625,0.7554773082942097,0.7515625,12
cegb,kr-vs-kp,4,4,4,0.0,0.9432707355242567,0.93125,64
cegb,breastcancer,2,2,4,0.125,0.6285714285714286,0.6228070175438597,12
cegb,covtype,256,17,8,0.0078125,0.7835949820248748,0.7819161295319398,997
cegb,kr-vs-kp,8,8,2,0.015625,0.9025821596244131,0.9109375,42
cegb,kr-vs-kp,16,1,1,0.25,0.5199530516431925,0.53125,1
cegb,kr-vs-kp,16,9,2,0.0625,0.9025821596244131,0.9109375,49
cegb,kr-vs-kp,8,8,8,0.0,0.9706572769953051,0.959375,488
cegb,kr-vs-kp,8,8,1,0.0625,0.9025821596244131,0.9109375,24
cegb,kr-vs-kp,32,8,4,0.0625,0.9432707355242567,0.93125,80
cegb,kr-vs-kp,4,1,8,0.25,0.5199530516431925,0.53125,1
cegb,kr-vs-kp,64,8,8,0.0625,0.9624413145539906,0.9421875,122
cegb,kr-vs-kp,16,16,4,0.015625,0.9432707355242567,0.93125,168
cegb,kr-vs-kp,32,1,2,0.25,0.5199530516431925,0.53125,1
cegb,kr-vs-kp,32,20,8,0.015625,0.9698748043818466,0.9515625,556
cegb,kr-vs-kp,64,64,2,0.0,0.9471830985915493,0.934375,442
cegb,kr-vs-kp,32,32,1,0.0,0.9025821596244131,0.9109375,96
cegb,breastcancer,2,2,8,0.03125,0.6285714285714286,0.6228070175438597,18
cegb,covtype,128,5,1,0.0625,0.7296545462759972,0.7276576336239168,15
cegb,kr-vs-kp,256,22,1,0.0625,0.9025821596244131,0.9109375,66
cegb,kr-vs-kp,64,1,4,0.25,0.5199530516431925,0.53125,1
cegb,covtype,512,1,4,0.25,0.5120554894591112,0.513781916129532,1
cegb,kr-vs-kp,256,35,2,0.015625,0.9432707355242567,0.93125,215
cegb,breastcancer,512,512,1,0.0,1.0,0.9473684210526315,1536
cegb,kr-vs-kp,512,1,1,0.25,0.5199530516431925,0.53125,1
cegb,kr-vs-kp,128,128,4,0.0,0.9855242566510172,0.971875,2878
cegb,kr-vs-kp,128,91,1,0.015625,0.9417057902973396,0.925,273
cegb,breastcancer,4,4,1,0.0078125,0.8857142857142857,0.9035087719298246,12
cegb,kr-vs-kp,512,20,4,0.015625,0.9432707355242567,0.93125,210
cegb,kr-vs-kp,128,1,8,0.25,0.5199530516431925,0.53125,1
cegb,kr-vs-kp,512,9,2,0.0625,0.9025821596244131,0.9109375,49
cegb,kr-vs-kp,1024,1024,1,0.0,0.9636150234741784,0.95,3072
cegb,kr-vs-kp,512,8,8,0.0625,0.9624413145539906,0.9421875,122
cegb,breastcancer,4,2,4,0.5,0.6285714285714286,0.6228070175438597,6
cegb,kr-vs-kp,1024,8,4,0.0625,0.9432707355242567,0.93125,80
cegb,breastcancer,512,75,1,0.0078125,0.9846153846153847,0.956140350877193,225
cegb,kr-vs-kp,1024,1,2,0.25,0.5199530516431925,0.53125,1
cegb,breastcancer,4,4,8,0.125,0.9098901098901099,0.9210526315789473,18
cegb,kr-vs-kp,1024,20,8,0.015625,0.9698748043818466,0.9515625,556
cegb,kr-vs-kp,256,256,8,0.0,0.9960876369327074,0.9703125,15532
cegb,kr-vs-kp,1024,8,8,0.0625,0.9624413145539906,0.9421875,122
cegb,kr-vs-kp,1024,1,8,0.25,0.5199530516431925,0.53125,1
