model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,mean
cegb,breastcancer,1,1,8,0.015625,0.6175824175824176,0.0,0.6666666666666666,13,0.6175824175824176
cegb,kr-vs-kp,8,8,2,0.015625,0.9045383411580594,0.0,0.903125,44,0.9045369068003914
cegb,breastcancer,1,1,2,0.25,0.6175824175824176,0.0,0.6666666666666666,3,0.6175824175824176
cegb,breastcancer,2,2,2,0.0,0.8791208791208791,0.0,0.9035087719298246,14,0.7670329670329671
cegb,breastcancer,8,8,8,0.0,0.9648351648351648,0.0,0.956140350877193,234,0.923076923076923
lgbm_base,kr-vs-kp,32,32,1,0.0,0.9045383411580594,0.0,0.903125,96,0.9045369068003912
cegb,breastcancer,2,2,8,0.0625,0.8791208791208791,0.0,0.9035087719298246,16,0.7670329670329671
cegb,kr-vs-kp,2,1,4,0.25,0.52660406885759,0.0,0.5046875,1,0.5266060726516634
cegb,kr-vs-kp,4,4,4,0.0,0.9389671361502347,0.0,0.9484375,68,0.93896771037182
lgbm_quant,kr-vs-kp,32,32,1,0.0,0.9045383411580594,0.0,0.903125,96,0.9045369068003912
cegb,kr-vs-kp,2,2,2,0.0,0.9045383411580594,0.0,0.903125,10,0.8756306568003914
cegb,kr-vs-kp,1,1,8,0.015625,0.9593114241001564,0.0,0.9640625,47,0.9428754892367904
cegb,breastcancer,32,32,1,0.0,0.956043956043956,0.0,0.9649122807017544,96,0.931868131868132
cegb,breastcancer,2,2,4,0.25,0.6175824175824176,0.0,0.6666666666666666,6,0.6175824175824176
cegb,kr-vs-kp,256,31,2,0.015625,0.9389671361502347,0.0,0.9484375,183,0.93896771037182
cegb,kr-vs-kp,64,8,8,0.0625,0.9573552425665102,0.0,0.9625,108,0.9507040423189824
cegb,kr-vs-kp,16,9,2,0.0625,0.9045383411580594,0.0,0.903125,49,0.9045369068003914
cegb,breastcancer,32,7,2,0.25,0.931868131868132,0.0,0.9473684210526316,21,0.9076923076923076
lgbm_base,kr-vs-kp,1,1,1,0.0,0.52660406885759,0.0,0.5046875,3,0.5266060726516635
lgbm_quant,kr-vs-kp,1,1,1,0.0,0.52660406885759,0.0,0.5046875,3,0.5266060726516635
cegb,breastcancer,8,8,2,0.015625,0.9626373626373628,0.0,0.9649122807017544,54,0.9252747252747252
cegb,breastcancer,32,29,8,0.015625,0.9868131868131867,0.0,0.9736842105263158,275,0.9428571428571428
ccp,kr-vs-kp,16,16,2,0.0625,1.383461917825569,0.0,0.5046875,16,0.5266060726516634
ccp,kr-vs-kp,2,2,8,0.0625,1.3834619178255694,0.0,0.5046875,2,0.5266060726516634
cegb,breastcancer,16,16,2,0.0625,0.9604395604395604,0.0,0.9649122807017544,76,0.9428571428571428
cegb,breastcancer,4,4,4,0.0,0.9274725274725276,0.0,0.9210526315789472,64,0.9208791208791208
cegb,kr-vs-kp,32,1,2,0.25,0.52660406885759,0.0,0.5046875,1,0.5266060726516634
cegb,kr-vs-kp,4,1,8,0.25,0.52660406885759,0.0,0.5046875,1,0.5266060726516634
