model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,meankfold
ccp,kr-vs-kp,128,128,1,0.015625,1.0046691906263214,0.0,0.9078125,162,0.9033657962328766
cegb,kr-vs-kp,128,88,1,0.015625,0.937793427230047,0.0,0.940625,264,0.9377950709393346
cegb,kr-vs-kp,32,19,8,0.015625,0.9667449139280124,0.0,0.9625,523,0.9636191291585126
cegb,breastcancer,512,30,4,0.015625,0.9846153846153848,0.0,0.9736842105263158,266,0.9472527472527472
cegb,kr-vs-kp,512,8,8,0.0625,0.940923317683881,0.0,0.940625,96,0.9409246575342464
cegb,kr-vs-kp,512,19,4,0.015625,0.940923317683881,0.0,0.940625,213,0.9409246575342464
ccp,kr-vs-kp,2,2,2,0.0,1.226789114644428,0.0,0.9078125,10,0.9033657962328766
cegb,breastcancer,512,19,2,0.0625,0.9582417582417584,0.0,0.9385964912280702,85,0.9296703296703296
cegb,kr-vs-kp,8,8,8,0.0,0.9694835680751174,0.0,0.9640625,392,0.9620543358610568
lgbm_base,kr-vs-kp,8,8,8,0.0,0.9690923317683882,0.0,0.9640625,394,0.9628371147260276
cegb,kr-vs-kp,256,22,1,0.0625,0.9033646322378716,0.0,0.9078125,66,0.9033657962328766
lgbm_quant,kr-vs-kp,8,8,8,0.0,0.9690923317683882,0.0,0.9640625,394,0.9628371147260276
cegb,kr-vs-kp,512,10,2,0.0625,0.9033646322378716,0.0,0.9078125,56,0.9033657962328766
cegb,breastcancer,128,128,4,0.0,1.0,0.0,0.9736842105263158,2532,0.9714285714285716
cegb,kr-vs-kp,2,2,8,0.0625,0.940923317683881,0.0,0.940625,20,0.9409246575342464
cegb,kr-vs-kp,1,1,1,0.0,0.5273865414710485,0.0,0.5015625,3,0.5273919092465753
cegb,breastcancer,256,33,2,0.015625,0.9846153846153848,0.0,0.9649122807017544,197,0.945054945054945
ccp,kr-vs-kp,128,128,4,0.0,0.0857313727719419,0.0,0.98125,3712,0.9788741438356166
cegb,kr-vs-kp,64,1,4,0.25,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
cegb,kr-vs-kp,128,1,8,0.25,0.5273865414710485,0.0,0.5015625,1,0.5273919092465753
ccp,kr-vs-kp,8,8,8,0.0,0.5611962706370799,0.0,0.975,680,0.9737883745107632
