model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes
lgbm_base,covtype,128,128,1,0.0,0.7491896311028666,0.7458531442955186,0.7492835813188988,384
lgbm_quant,covtype,128,128,1,0.0,0.7492039739152053,0.7458316301284396,0.7490082011652023,384
lgbm_base,covtype,512,512,8,0.0,0.905318314815169,0.8956993180009036,0.898074920613065,31232
lgbm_base,kin8nm,2,2,4,0.0,0.05948742984395927,0.06083743024441587,0.0632546634692494,62
lgbm_quant,kin8nm,2,2,4,0.0,0.0594692668296597,0.0608249137858635,0.06323753011365926,62
lgbm_base,mushroom,32,32,2,0.0,0.9844417849204993,0.9769230769230769,0.984,222
lgbm_quant,mushroom,32,32,2,0.0,0.9844417849204993,0.9769230769230769,0.984,222
lgbm_base,kin8nm,256,256,4,0.0,0.011724411336206175,0.020098897722281173,0.021968080496792042,6252
lgbm_quant,kin8nm,256,256,4,0.0,17.65075926661604,16.03050244635546,17.229648950202865,6252
lgbm_base,kin8nm,16,16,1,0.0,0.05066795583498205,0.050881489901630036,0.053708109085396014,48
lgbm_base,kin8nm,32,32,4,0.0,0.0276533446227665,0.03057945430902849,0.034312097106875564,984
lgbm_quant,kin8nm,16,16,1,0.0,0.05066805827858358,0.05087837991905554,0.053706668461631385,48
lgbm_quant,kin8nm,32,32,4,0.0,0.027650743087899294,0.030577178777434717,0.03431274696391594,984
lgbm_base,mushroom,128,128,8,0.0,1.0,1.0,1.0,6694
lgbm_base,kin8nm,1,1,2,0.0,0.0648110999152933,0.06566957901104688,0.06873946738703109,7
lgbm_quant,kin8nm,1,1,2,0.0,0.06481364808679911,0.06567263492445019,0.06874482958571564,7
lgbm_quant,mushroom,128,128,8,0.0,1.0,1.0,1.0,6694
lgbm_base,covtype,256,256,2,0.0,0.7796418121665296,0.7775650265699964,0.7796958770427613,1792
lgbm_base,kin8nm,256,256,2,0.0,0.028121503282917792,0.029759656385737653,0.03529958374906433,1742
lgbm_quant,kin8nm,256,256,2,0.0,13.52157327801592,13.494850471281985,13.532360944400036,1742
lgbm_base,california_housing,16,16,1,0.0,0.7929101851837431,0.7735573190376888,0.810673879971354,48
lgbm_quant,california_housing,16,16,1,0.0,0.7929486637773041,0.7734400225659125,0.8105002222854135,48
lgbm_base,kin8nm,4,4,8,0.0,0.049289393245804176,0.05144882875816309,0.05332561860360858,244
lgbm_quant,kin8nm,4,4,8,0.0,0.04929080439925037,0.051455509245402306,0.05332794045976569,244
lgbm_base,kin8nm,32,32,2,0.0,0.038955478311052234,0.039658164126229196,0.043369310247564616,224
lgbm_base,california_housing,2,2,4,0.0,1.059534998986049,1.03055687871499,1.0909434896168966,62
lgbm_base,kin8nm,64,64,8,0.0,0.011223095616084994,0.016967867648933016,0.019834869881545234,3902
lgbm_quant,kin8nm,32,32,2,0.0,0.03895995691180468,0.039658432287734864,0.04337532990723999,224
lgbm_quant,california_housing,2,2,4,0.0,1.0593337532932703,1.0305646434126337,1.0906824105050674,62
lgbm_base,mushroom,4,4,8,0.0,0.9921354077620106,0.9907692307692307,0.9950769230769231,174
lgbm_quant,mushroom,4,4,8,0.0,0.9921354077620106,0.9907692307692307,0.9950769230769231,174
lgbm_base,mushroom,64,64,4,0.0,1.0,1.0,1.0,1682
lgbm_quant,kin8nm,64,64,8,0.0,0.011238183988469144,0.016979052004389414,0.019837391211332264,3902
lgbm_quant,mushroom,64,64,4,0.0,1.0,1.0,1.0,1682
lgbm_base,california_housing,64,64,4,0.0,0.24246792779899207,0.27328142068344274,0.27816970744546893,1898
lgbm_base,mushroom,16,16,1,0.0,0.9611899469994871,0.9584615384615385,0.9618461538461538,48
lgbm_base,mushroom,2,2,4,0.0,0.9726448965635152,0.9784615384615385,0.9815384615384616,48
lgbm_quant,mushroom,16,16,1,0.0,0.9611899469994871,0.9584615384615385,0.9618461538461538,48
lgbm_quant,mushroom,2,2,4,0.0,0.9726448965635152,0.9784615384615385,0.9815384615384616,48
lgbm_base,california_housing,4,4,8,0.0,0.8173039661372825,0.811221897288345,0.8491593724467669,244
lgbm_base,california_housing,32,32,2,0.0,0.4750889418955538,0.47398435231431424,0.4897954745558998,224
lgbm_quant,california_housing,4,4,8,0.0,0.81743757721936,0.8111350105484381,0.8490519208379865,244
lgbm_quant,california_housing,64,64,4,0.0,0.2467904270140917,0.2742387121868568,0.2815939296967154,1898
lgbm_base,mushroom,512,512,1,0.0,0.9982903060352197,0.9984615384615385,0.9987692307692307,1536
