model,dataset,max_trees,no_trees,depth,alpha,train_loss,test_accuracy,val_acc,nodes,memory_usage,max_memory,randomseed
lgbm_base,breastcancer,8.0,8.0,1.0,0.0,1e+34,0.0,0.912280701754386,8.0,3072.0,4000,1
lgbm_base,breastcancer,8.0,8.0,2.0,0.0,1e+34,0.0,0.912280701754386,24.0,7168.0,8000,1
lgbm_base,breastcancer,16.0,16.0,2.0,0.0,1e+34,0.0,0.956140350877193,48.0,14336.0,16000,1
lgbm_base,breastcancer,64.0,64.0,1.0,0.0,1e+34,0.0,0.956140350877193,64.0,24576.0,32000,1
lgbm_base,breastcancer,128.0,128.0,1.0,0.0,1e+34,0.0,0.956140350877193,128.0,49152.0,64000,1
lgbm_base,breastcancer,256.0,256.0,1.0,0.0,1e+34,0.0,0.956140350877193,256.0,98304.0,128000,1
lgbm_base,breastcancer,256.0,256.0,1.0,0.0,1e+34,0.0,0.956140350877193,256.0,98304.0,256000,1
lgbm_base,breastcancer,1024.0,1024.0,1.0,0.0,1e+34,0.0,0.9649122807017544,1024.0,393216.0,512000,1
lgbm_base,breastcancer,128.0,128.0,8.0,0.0,1e+34,0.0,0.956140350877193,32640.0,594944.0,1024000,1
lgbm_base,breastcancer,128.0,128.0,8.0,0.0,1e+34,0.0,0.956140350877193,32640.0,594944.0,2048000,1
lgbm_base,breastcancer,128.0,128.0,8.0,0.0,1e+34,0.0,0.956140350877193,32640.0,594944.0,4096000,1
lgbm_base,breastcancer,128.0,128.0,8.0,0.0,1e+34,0.0,0.956140350877193,32640.0,594944.0,8192000,1
lgbm_base,breastcancer,128.0,128.0,8.0,0.0,1e+34,0.0,0.956140350877193,32640.0,594944.0,16384000,1
lgbm_quant,breastcancer,8.0,8.0,1.0,0.0,1e+34,0.0,0.912280701754386,8.0,1536.0,2000,1
lgbm_quant,breastcancer,8.0,8.0,2.0,0.0,1e+34,0.0,0.912280701754386,24.0,3584.0,4000,1
lgbm_quant,breastcancer,16.0,16.0,2.0,0.0,1e+34,0.0,0.956140350877193,48.0,7168.0,8000,1
lgbm_quant,breastcancer,64.0,64.0,1.0,0.0,1e+34,0.0,0.956140350877193,64.0,12288.0,16000,1
lgbm_quant,breastcancer,128.0,128.0,1.0,0.0,1e+34,0.0,0.956140350877193,128.0,24576.0,32000,1
lgbm_quant,breastcancer,256.0,256.0,1.0,0.0,1e+34,0.0,0.956140350877193,256.0,49152.0,64000,1
lgbm_quant,breastcancer,256.0,256.0,1.0,0.0,1e+34,0.0,0.956140350877193,256.0,49152.0,128000,1
lgbm_quant,breastcancer,1024.0,1024.0,1.0,0.0,1e+34,0.0,0.9649122807017544,1024.0,196608.0,256000,1
lgbm_quant,breastcancer,128.0,128.0,8.0,0.0,1e+34,0.0,0.956140350877193,32640.0,297472.0,512000,1
lgbm_quant,breastcancer,128.0,128.0,8.0,0.0,1e+34,0.0,0.956140350877193,32640.0,297472.0,1024000,1
lgbm_quant,breastcancer,128.0,128.0,8.0,0.0,1e+34,0.0,0.956140350877193,32640.0,297472.0,2048000,1
lgbm_quant,breastcancer,128.0,128.0,8.0,0.0,1e+34,0.0,0.956140350877193,32640.0,297472.0,4096000,1
lgbm_quant,breastcancer,128.0,128.0,8.0,0.0,1e+34,0.0,0.956140350877193,32640.0,297472.0,8192000,1
lgbm_quant,breastcancer,128.0,128.0,8.0,0.0,1e+34,0.0,0.956140350877193,32640.0,297472.0,16384000,1
ccp,breastcancer,4.0,4.0,1.0,0.0,1e+34,0.0,0.8245614035087719,4.0,1536.0,2000,1
ccp,breastcancer,4.0,4.0,2.0,0.0078125,1e+34,0.0,0.9035087719298246,12.0,2816.0,4000,1
ccp,breastcancer,8.0,8.0,4.0,0.0078125,1e+34,0.0,0.9385964912280702,120.0,5632.0,8000,1
ccp,breastcancer,16.0,16.0,2.0,0.0078125,1e+34,0.0,0.9473684210526316,48.0,8192.0,16000,1
ccp,breastcancer,64.0,64.0,1.0,0.0,1e+34,0.0,0.956140350877193,64.0,24576.0,32000,1
ccp,breastcancer,128.0,128.0,1.0,0.0,1e+34,0.0,0.9649122807017544,128.0,49152.0,64000,1
ccp,breastcancer,32.0,32.0,4.0,0.0,1e+34,0.0,0.9473684210526316,480.0,107520.0,128000,1
ccp,breastcancer,32.0,32.0,4.0,0.0,1e+34,0.0,0.9473684210526316,480.0,107520.0,256000,1
ccp,breastcancer,1024.0,1024.0,1.0,0.0,1e+34,0.0,0.9736842105263158,1024.0,393216.0,512000,1
ccp,breastcancer,1024.0,1024.0,1.0,0.0,1e+34,0.0,0.9736842105263158,1024.0,393216.0,1024000,1
ccp,breastcancer,1024.0,1024.0,1.0,0.0,1e+34,0.0,0.9736842105263158,1024.0,393216.0,2048000,1
ccp,breastcancer,1024.0,1024.0,1.0,0.0,1e+34,0.0,0.9736842105263158,1024.0,393216.0,4096000,1
ccp,breastcancer,1024.0,1024.0,1.0,0.0,1e+34,0.0,0.9736842105263158,1024.0,393216.0,8192000,1
ccp,breastcancer,1024.0,1024.0,1.0,0.0,1e+34,0.0,0.9736842105263158,1024.0,393216.0,16384000,1
cegb,breastcancer,4.0,4.0,1.0,0.0,1e+34,0.0,0.8333333333333334,4.0,1536.0,2000,1
cegb,breastcancer,8.0,8.0,1.0,0.0,1e+34,0.0,0.912280701754386,8.0,3072.0,4000,1
cegb,breastcancer,8.0,8.0,2.0,0.015625,1e+34,0.0,0.8859649122807017,24.0,7168.0,8000,1
cegb,breastcancer,16.0,16.0,2.0,0.0,1e+34,0.0,0.9385964912280702,48.0,14336.0,16000,1
cegb,breastcancer,64.0,64.0,1.0,0.0,1e+34,0.0,0.956140350877193,64.0,24576.0,32000,1
cegb,breastcancer,64.0,64.0,1.0,0.0,1e+34,0.0,0.956140350877193,64.0,24576.0,64000,1
cegb,breastcancer,64.0,64.0,1.0,0.0,1e+34,0.0,0.956140350877193,64.0,24576.0,128000,1
cegb,breastcancer,64.0,64.0,1.0,0.0,1e+34,0.0,0.956140350877193,64.0,24576.0,256000,1
cegb,breastcancer,512.0,512.0,2.0,0.0,1e+34,0.0,0.9473684210526316,1536.0,422656.0,512000,1
cegb,breastcancer,1024.0,1024.0,2.0,0.0,1e+34,0.0,0.9473684210526316,3072.0,619520.0,1024000,1
cegb,breastcancer,1024.0,1024.0,2.0,0.0,1e+34,0.0,0.9473684210526316,3072.0,619520.0,2048000,1
cegb,breastcancer,1024.0,1024.0,2.0,0.0,1e+34,0.0,0.9473684210526316,3072.0,619520.0,4096000,1
cegb,breastcancer,1024.0,1024.0,2.0,0.0,1e+34,0.0,0.9473684210526316,3072.0,619520.0,8192000,1
cegb,breastcancer,1024.0,1024.0,2.0,0.0,1e+34,0.0,0.9473684210526316,3072.0,619520.0,16384000,1
lgbm_base,kr-vs-kp,2.0,2.0,2.0,0.0,1e+34,0.0,0.8859375,6.0,1536.0,2000,1
lgbm_base,kr-vs-kp,1.0,1.0,4.0,0.0,1e+34,0.0,0.928125,15.0,2176.0,4000,1
lgbm_base,kr-vs-kp,1.0,1.0,8.0,0.0,1e+34,0.0,0.9625,255.0,5504.0,8000,1
